Experiment,Condition,Model,Random Seed,Test Set,bin,n,mean_pred,obs_rate
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,Shifted Test,3,15213,0.35153717777005455,0.3623874318017485
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,Shifted Test,4,19719,0.45262407549067546,0.4403874435823318
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,Shifted Test,5,26133,0.5510590162821152,0.5663720200512762
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,Shifted Test,6,32297,0.6519691887963249,0.6785769576121621
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,Shifted Test,7,44464,0.7516445641510776,0.7592434328895286
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,Shifted Test,8,34005,0.8435779876208379,0.8300544037641523
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,Shifted Test,9,1353,0.9079053014715072,0.9423503325942351
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,In-domain Test,0,13473,0.024083548004806457,0.013137385882876865
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,In-domain Test,1,2608,0.1492731610764435,0.15030674846625766
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,In-domain Test,2,2671,0.2512106570366035,0.2579558217895919
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,In-domain Test,3,3044,0.3506376597731718,0.3478975032851511
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,In-domain Test,4,4234,0.4530853373392269,0.42867264997638166
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,In-domain Test,5,5682,0.5514843612227461,0.5668778599084829
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,In-domain Test,6,7512,0.6520185197472446,0.6529552715654952
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,In-domain Test,7,9991,0.7516476541724771,0.7514763286958263
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,In-domain Test,8,7383,0.8435054209098961,0.8056345658946228
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,In-domain Test,9,225,0.9077132230334811,0.9155555555555556
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,Shifted Test,0,68273,0.023577306053656336,0.019656379535101725
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,Shifted Test,1,13163,0.1481770788998143,0.15596748461596902
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,Shifted Test,2,13221,0.2500502403835947,0.27350427350427353
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,Shifted Test,3,15325,0.35112668871101704,0.36254486133768354
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,Shifted Test,4,20045,0.4529806086237397,0.43961087553005734
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,Shifted Test,5,25987,0.5510788131990497,0.5679762958402278
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,Shifted Test,6,32488,0.6520538245408267,0.6746798818025117
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,Shifted Test,7,44160,0.7513717813579285,0.7601675724637681
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,Shifted Test,8,34082,0.8429546348278836,0.8304090135555425
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,43,Shifted Test,9,1356,0.9080253348062172,0.9446902654867256
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,In-domain Test,0,13517,0.023724426460269548,0.014944144410742028
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,In-domain Test,1,2566,0.14869791997519677,0.1391270459859704
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,In-domain Test,2,2560,0.2506909333693329,0.26484375
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,In-domain Test,3,3113,0.35216373624504477,0.37584323803405073
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,In-domain Test,4,4112,0.45426417321169654,0.4175583657587549
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,In-domain Test,5,5588,0.551746635381119,0.5608446671438797
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,In-domain Test,6,7413,0.6520894657949614,0.6395521381357075
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,In-domain Test,7,10174,0.7525566973807138,0.7469038726164734
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,In-domain Test,8,7561,0.8436664691158678,0.809549001454834
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,In-domain Test,9,219,0.9071248829636944,0.9178082191780822
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,Shifted Test,0,68625,0.023050527245596156,0.020065573770491802
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,Shifted Test,1,13107,0.14802743671978513,0.15884641794460974
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,Shifted Test,2,13179,0.24990052944390562,0.27687988466499736
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,Shifted Test,3,15128,0.35125576225239913,0.36614225277630885
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,Shifted Test,4,19802,0.45285548511755225,0.43844056155943845
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,Shifted Test,5,25926,0.5512599660080634,0.5670755226413638
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,Shifted Test,6,32325,0.6520457285223132,0.6732559938128384
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,Shifted Test,7,44646,0.7513299149669734,0.7584330063163554
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,Shifted Test,8,34058,0.8433463749952622,0.8317282283164015
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,44,Shifted Test,9,1304,0.9077796033737849,0.941717791411043
Feature Shift,Disability,LightGBM,42,In-domain Test,0,15019,0.012871726136268814,0.00812304414408416
Feature Shift,Disability,LightGBM,42,In-domain Test,1,3182,0.14678276270056656,0.12507856693903205
Feature Shift,Disability,LightGBM,42,In-domain Test,2,2403,0.24865181812310388,0.1918435289221806
Feature Shift,Disability,LightGBM,42,In-domain Test,3,1999,0.34901953646992373,0.2976488244122061
Feature Shift,Disability,LightGBM,42,In-domain Test,4,2495,0.4524296950003905,0.37915831663326655
Feature Shift,Disability,LightGBM,42,In-domain Test,5,3231,0.5530800429596248,0.47818012999071496
Feature Shift,Disability,LightGBM,42,In-domain Test,6,4376,0.6552287783793819,0.5669561243144424
Feature Shift,Disability,LightGBM,42,In-domain Test,7,7531,0.7535852861189143,0.6951268091886867
Feature Shift,Disability,LightGBM,42,In-domain Test,8,9001,0.8517249277228449,0.8006888123541829
Feature Shift,Disability,LightGBM,42,In-domain Test,9,7586,0.9316520401616226,0.9135249143158449
Feature Shift,Disability,LightGBM,42,Shifted Test,0,76182,0.011660090193500228,0.013441495366359508
Feature Shift,Disability,LightGBM,42,Shifted Test,1,14882,0.14615060932741036,0.15260045692783228
Feature Shift,Disability,LightGBM,42,Shifted Test,2,11661,0.2486704909114504,0.22519509476031216
Feature Shift,Disability,LightGBM,42,Shifted Test,3,9358,0.3490853394949174,0.29739260525753364
