Experiment,Condition,Model,Random Seed,Test Set,bin,n,mean_pred,obs_rate
Feature Shift,Medications,LightGBM,43,In-domain Test,0,196,0.07120775706039703,0.01020408163265306
Feature Shift,Medications,LightGBM,43,In-domain Test,1,853,0.16160564681849193,0.04220398593200469
Feature Shift,Medications,LightGBM,43,In-domain Test,2,2522,0.25603221979621477,0.05789056304520222
Feature Shift,Medications,LightGBM,43,In-domain Test,3,3395,0.3498180399850472,0.08335787923416789
Feature Shift,Medications,LightGBM,43,In-domain Test,4,3086,0.44918596073357375,0.12151652624756967
Feature Shift,Medications,LightGBM,43,In-domain Test,5,2378,0.5438999196027285,0.15727502102607233
Feature Shift,Medications,LightGBM,43,In-domain Test,6,1227,0.6417211892163743,0.20293398533007334
Feature Shift,Medications,LightGBM,43,In-domain Test,7,454,0.7422368074828832,0.2643171806167401
Feature Shift,Medications,LightGBM,43,In-domain Test,8,154,0.8315603860786983,0.37662337662337664
Feature Shift,Medications,LightGBM,43,In-domain Test,9,3,0.9113991260528564,0.6666666666666666
Feature Shift,Medications,LightGBM,43,Shifted Test,0,112,0.07346103012761367,0.0
Feature Shift,Medications,LightGBM,43,Shifted Test,1,391,0.16286494800120668,0.043478260869565216
Feature Shift,Medications,LightGBM,43,Shifted Test,2,1361,0.25394834062354166,0.0683321087435709
Feature Shift,Medications,LightGBM,43,Shifted Test,3,1656,0.34968284983637826,0.07065217391304347
Feature Shift,Medications,LightGBM,43,Shifted Test,4,1586,0.44915095928112164,0.10403530895334175
Feature Shift,Medications,LightGBM,43,Shifted Test,5,974,0.545470926061548,0.15503080082135523
Feature Shift,Medications,LightGBM,43,Shifted Test,6,510,0.6436711528721978,0.21372549019607842
Feature Shift,Medications,LightGBM,43,Shifted Test,7,130,0.740859540609213,0.2230769230769231
Feature Shift,Medications,LightGBM,43,Shifted Test,8,61,0.8410250720430593,0.4098360655737705
Feature Shift,Medications,LightGBM,43,Shifted Test,9,0,,
Feature Shift,Medications,LightGBM,44,In-domain Test,0,113,0.0845830737555449,0.008849557522123894
Feature Shift,Medications,LightGBM,44,In-domain Test,1,806,0.1601129968745389,0.03225806451612903
Feature Shift,Medications,LightGBM,44,In-domain Test,2,2530,0.258424484034772,0.06284584980237154
Feature Shift,Medications,LightGBM,44,In-domain Test,3,3121,0.3484264293262417,0.0775392502403076
Feature Shift,Medications,LightGBM,44,In-domain Test,4,3070,0.4500470195414577,0.11172638436482085
Feature Shift,Medications,LightGBM,44,In-domain Test,5,2754,0.5468795172702426,0.15105301379811184
Feature Shift,Medications,LightGBM,44,In-domain Test,6,1274,0.6403410946555564,0.20408163265306123
Feature Shift,Medications,LightGBM,44,In-domain Test,7,472,0.7464916631579399,0.3114406779661017
Feature Shift,Medications,LightGBM,44,In-domain Test,8,119,0.8256044122351318,0.4957983193277311
Feature Shift,Medications,LightGBM,44,In-domain Test,9,1,0.9007176756858826,0.0
Feature Shift,Medications,LightGBM,44,Shifted Test,0,71,0.08221368318502333,0.0
